id,created_at,text
979752503309946882,2018-03-30 16:09:34,"RT @10DowningStreet: ""I wish you all a very happy and peaceful Pesach – chag kasher v’sameach."" – PM @Theresa_May #Passover https://t.co/1M…"
979709971863670784,2018-03-30 13:20:34,RT @Conservatives: .@sajidjavid has today set out a cross-government plan of action to significantly reduce the number of people sleeping r…
979693123742916608,2018-03-30 12:13:37,Always fun to marshal for the Maidenhead Easter 10 in my constituency - now in its 65th year. Well done to all who… https://t.co/UqplqrQ0Kp
979653816843948032,2018-03-30 09:37:25,RT @10DowningStreet: Today’s announcement is the next step to halving rough sleeping by 2022 and eliminating it by 2027 #TacklingRoughSleep…
979465450131197952,2018-03-29 21:08:55,RT @10DowningStreet: Today marks one year until the UK leaves the EU — the PM has visited all four nations of the Union to hear from people…
979422547367297024,2018-03-29 18:18:26,"Finishing today's #RoadtoBrexit tour day, in West London I had tea with a group of Polish citizens who have made th… https://t.co/rDS1bGCEvI"
979400086441615360,2018-03-29 16:49:11,I visited @AstonMartin in Barry to host a roundtable discussion with Welsh businesses #RoadtoBrexit https://t.co/PXRhN64sH0
979344457991704576,2018-03-29 13:08:08,"In Northern Ireland, I had lunch with farmers in Bangor #RoadtoBrexit https://t.co/eZfLZ9NE0M"
979331813482131456,2018-03-29 12:17:54,In Northumberland I met with a local parent and toddler group #RoadtoBrexit https://t.co/dqLzOAuaCd
979301959218974721,2018-03-29 10:19:16,"Kicking off in Scotland, I visited textile workers at a factory in Ayr #RoadtoBrexit https://t.co/Q2MeN2U44e"
979301166621315072,2018-03-29 10:16:07,"To mark one year to go until Brexit, I am embarking on a day-long tour across the UK to demonstrate my determinatio… https://t.co/pTECMpJRwX"
979060372748537856,2018-03-28 18:19:17,"Our balanced approach to the economy means that, since November, the Chancellor has been able to put an extra £10 b… https://t.co/gsBFmjgioT"
979017907970740224,2018-03-28 15:30:33,I'm pleased the Government I lead has today announced that we are consulting on introducing a #DepositReturnScheme… https://t.co/o348j0qaqs
978958155039281153,2018-03-28 11:33:06,RT @Conservatives: We know that the best way to support the NHS is through building a stronger economy. Since 2010 we’ve increased NHS spen…
978958107551387649,2018-03-28 11:32:55,"RT @Conservatives: Four big things next week:

⬆️ 2 million people on the National Living wage will get a pay rise
✂️ 31 million workers wi…"
978357619579674626,2018-03-26 19:46:48,"RT @10DowningStreet: ""Today's actions by our allies clearly demonstrate that we all stand shoulder to shoulder in sending the strongest sig…"
977555238352769024,2018-03-24 14:38:25,"RT @10DowningStreet: I am saddened to learn that Lieut Col Arnaud Beltrame, the Gendarme who took the place of a hostage in the attack at #…"
977258223572078593,2018-03-23 18:58:11,"RT @10DowningStreet: ""This gives certainty to people and businesses, it gives them the clarity to plan for their future, and it ensures tha…"
977257160257220609,2018-03-23 18:53:58,.@AlanMakMP is a strong supporter of #Havant-based @SouthernDAS who help victims and survivors of domestic abuse. T… https://t.co/X3Eg9r5LfP
977144409589534720,2018-03-23 11:25:56,The latest figures show that one million people in Britain have been lifted out of absolute poverty since 2010. Thi… https://t.co/5JHdhe7JAe
976925464899047424,2018-03-22 20:55:55,"RT @10DowningStreet: The PM, Chancellor Merkel and President Macron today, in Brussels, agreed on the importance of sending a strong Europe…"
976876823723302912,2018-03-22 17:42:38,"RT @10DowningStreet: “In memory of those who were lost, and in defiance of those who would seek to silence our democracy”
 
PM @Theresa_May…"
976515462124199937,2018-03-21 17:46:43,"RT @10DowningStreet: The Government is investing £4.1bn to deliver 400,000 new homes across the UK. https://t.co/KOOdjyOKNX"
976482749694529536,2018-03-21 15:36:44,The #NHS70 awards are a great opportunity for MPs to thank #NHS staff for continued dedication and hard work by hon… https://t.co/hQCKQgk1xT
976191509270794241,2018-03-20 20:19:27,"RT @10DowningStreet: ""My condolences to the family of the RAF engineer who sadly died today on Anglesey. My thoughts are also with the pilo…"
975765414272819207,2018-03-19 16:06:18,"RT @10DowningStreet: Today the PM visited @Street_League in Birmingham, to launch a £90m programme that will tackle inequalities in youth u…"
975049420512333825,2018-03-17 16:41:12,Great to address @Conservatives #SpringForum today. Thank you to everyone who travelled from across the UK to join… https://t.co/QHBbjVZycb
974683063006498816,2018-03-16 16:25:25,".@mariacaulfield is a huge supporter of @SERV_Sussex. Based in her constituency, it provides emergency motorbike tr… https://t.co/yr1SI1ec04"
974361417619943425,2018-03-15 19:07:19,RT @10DowningStreet: The government will continue to do everything possible to support this historic city to recover fully. https://t.co/oy…
974361412041674752,2018-03-15 19:07:18,"RT @10DowningStreet: “Thank you to our emergency services, our police, our health services, everybody at Porton Down, and Public Health Eng…"
974361349554954241,2018-03-15 19:07:03,"RT @10DowningStreet: Prime Minister Theresa May visited Salisbury today to thank the emergency services, doctors, nurses, and investigation…"
973950772009426944,2018-03-14 15:55:33,This was not just an act of attempted murder in Salisbury – nor just an act against UK. It is an affront to the pro… https://t.co/bebs8f4MDh
973839123168579584,2018-03-14 08:31:54,Professor Stephen Hawking was a brilliant and extraordinary mind - one of the great scientists of his generation. H… https://t.co/VgBnpXvrqE
973605610884403200,2018-03-13 17:04:01,"With a strong economy we can continue to create jobs, invest in public services and build a country that works for… https://t.co/B3iSBQbEU5"
