,count
the,2321
to,2018
a,1071
in,1046
of,1038
and,1032
for,755
on,625
-,617
is,591
with,532
our,509
at,498
we,394
i,380
my,345
&amp;,318
this,314
will,311
are,309
be,303
more,286
great,241
that,209
about,208
people,206
by,204
from,190
have,178
rt,175
you,174
i'm,172
as,171
can,164
today,163
an,161
,156
uk,152
new,152
all,144
help,142
britain,138
has,134
it,132
who,132
how,125
eu,121
why,121
was,120
plan,120
their,119
so,118
we're,117
it's,116
out,115
security,114
just,112
been,111
vote,106
see,105
your,104
up,98
jobs,97
i've,93
british,93
one,91
better,90
his,88
good,87
meeting,84
i'll,84
work,83
economy,81
but,78
those,77
working,76
get,75
proud,75
future,75
thoughts,75
they,73
everyone,72
must,72
talking,72
first,71
economic,71
support,70
want,68
helping,67
news,67
if,67
state,66
what,65
make,65
#longtermeconomicplan,64
do,63
delighted,61
conservative,61
would,60
us,59
congratulations,59
clear,58
over,58
off,58
best,57
keep,56
day,56
today.,56
hardworking,56
families,56
today's,56
now,54
part,53
since,53
campaign,52
tax,51
he,51
government,51
need,50
business,50
secretary,50
world,50
important,49
minister,49
where,49
country,48
meet,48
many,48
not,48
than,48
@conservatives:,47
join,47
president,47
people.,46
back,46
#strongerin,46
me,46
after,45
family,45
strong,45
should,45
secure,45
plans,44
right,44
find,44
children,44
growth,43
we'll,43
remain,43
next,43
year,43
there,42
making,42
like,42
home,41
her,41
together,41
being,41
long-term,41
–,41
no,40
only,40
ensure,40
very,40
message,39
watch,39
last,39
pay,39
video,39
national,39
hear,39
means,39
no10,38
say,38
young,38
them,38
europe,38
across,38
long,38
its,37
done,37
show,37
businesses,37
leave,37
days,36
team,36
time,36
safer,36
pm,36
"stronger,",35
huge,35
morning,35
happy,35
million,35
welcome,35
that's,35
please,35
referendum,34
some,34
life,34
or,34
real,34
much,34
small,34
delivering,34
speech,33
deliver,33
him,33
made,33
way,33
labour,33
around,33
doing,33
visit,32
against,32
another,32
celebrating,32
hard,32
create,32
local,31
here's,31
ed,31
deal,31
leaving,31
win,31
well,31
we've,30
don't,30
vital,30
down,30
key,30
britain.,29
set,29
into,29
article,29
let's,29
thanks,29
cabinet,29
also,29
under,28
families.,28
eu.,28
european,28
employment,28
global,28
figures,28
she,28
never,28
there's,28
every,28
big,27
fantastic,27
#reshuffle,27
taking,27
take,27
most,27
election,26
thank,26
stronger,26
@conservatives,26
europe.,26
go,26
leaders,26
always,26
giving,26
read,26
inflation,25
ever,25
brighter,25
forward,25
term,25
know,25
unemployment,25
which,25
wishes,25
end,24
remember,24
ahead,24
change,24
stick,24
miliband,24
