,count
@number10gov:,-5.509726572
@theresamay2016,-5.250215377
@10downingstreet:,-4.662428712
#tm4pm,-4.43928516
.@theresa_may:,-4.151603088
unite,-3.969281531
a…,-3.90028866
@theresamay2016:,-3.826180688
@hmtreasury:,-3.74613798
experience,-3.659126603
#pminchina,-3.563816423
leadership,-3.529914871
#budget2017,-3.458455907
tm:,-3.340672872
"brexit,",-3.207141479
brexit,-3.052990799
works,-2.935207764
@theresa_may,-2.870669243
theresa,-2.819375948
members,-2.647525691
prime,-2.58298717
#pmqs,-2.560514314
"eu,",-2.359843619
t…,-2.216742775
"country,",-2.108529191
lead,-1.954378511
the…,-1.954378511
backing,-1.872140412
workers,-1.820847118
living,-1.772056954
rt,-1.770900216
voted,-1.731234959
may,-1.717989733
pleased,-1.666696438
@conservatives:,-1.65957897
pm,-1.657126987
leader,-1.62895611
downing,-1.548913403
build,-1.506353788
number,-1.461902026
serious,-1.443552887
–,-1.422499478
stable,-1.41538201
party,-1.394762723
country,-1.379014366
duty,-1.366591846
am,-1.344612939
deal,-1.325769851
public,-1.321855952
wish,-1.26123133
homes,-1.181188622
through,-1.174219953
were,-1.16592115
thank,-1.133397959
following,-1.127699938
i’ve,-1.10708065
mps,-1.078909773
minister,-1.032972678
health,-1.009916902
union,-0.973549258
needs,-0.973549258
she,-0.961126738
need,-0.95292997
every,-0.947573771
again,-0.942777599
housing,-0.924759094
best,-0.917459791
china,-0.904556386
visited,-0.89350655
parliament,-0.855766222
nhs,-0.855766222
i’m,-0.819398578
me,-0.809246206
next,-0.805755801
wants,-0.791227701
opportunities,-0.775723514
level,-0.750405706
take,-0.722234829
put,-0.714687624
deliver,-0.709162748
right,-0.701615542
its,-0.679309785
enjoyed,-0.673444665
that,-0.661060606
armed,-0.655095527
too,-0.642192122
her,-0.622151371
no,-0.619377444
government,-0.607304863
it,-0.591431514
strong,-0.591073668
forward,-0.56808415
last,-0.56808415
we,-0.541415903
want,-0.538231186
into,-0.53299283
which,-0.527262155
action,-0.514016928
since,-0.509815241
not,-0.499091278
support,-0.490525915
change,-0.47277397
peaceful,-0.450301114
stronger,-0.440250778
get,-0.440250778
leave,-0.42290214
i,-0.414826726
progress,-0.41393347
years,-0.41393347
britain.,-0.401030065
national,-0.396233893
make,-0.392193483
has,-0.382680926
school,-0.373928135
year,-0.356775056
us,-0.344940598
do,-0.336972429
will,-0.330174128
when,-0.316769721
election,-0.305719885
all,-0.304269559
back,-0.296150434
today,-0.290700829
day,-0.28667169
work,-0.284721738
together,-0.280402077
million,-0.270832626
start,-0.2627025
have,-0.260117406
way,-0.257929221
truly,-0.249630418
time,-0.242661749
fantastic,-0.239580083
going,-0.231611913
local,-0.225139398
campaigning,-0.219777455
protect,-0.211409206
but,-0.201839755
set,-0.196520593
that's,-0.190789918
meet,-0.183672451
as,-0.174595233
your,-0.172471338
met,-0.162619041
and,-0.162619041
down,-0.162619041
campaign,-0.143200956
only,-0.137301233
show,-0.135220067
know,-0.121797047
there,-0.112608621
job,-0.10855182
now,-0.105460628
our,-0.103236193
both,-0.09808052
everyone,-0.089593906
you,-0.082576334
world,-0.077461233
here,-0.071647263
the,-0.064026243
appalling,-0.057258526
visit,-0.057258526
to,-0.054026956
businesses,-0.04820869
should,-0.041991054
can,-0.040016719
morning,-0.037455899
be,-0.03340731
than,-0.029087649
who,-0.027962156
hard,-0.024468703
one,-0.019518198
out,-0.017437032
conservative,-0.01690723
for,-0.0165113
team,-0.008468362
celebrating,0.007279995
why,0.012945733
my,0.013837396
they,0.019702515
was,0.023280337
those,0.024979572
their,0.035206702
is,0.036334915
a,0.036783825
go,0.038051654
over,0.038051654
uk,0.040321803
of,0.0503872
this,0.052900585
many,0.06052451
victims,0.06052451
tackle,0.073769737
ahead,0.082503417
welcome,0.096892154
important,0.104009622
so,0.125063031
hit,0.125063031
britain,0.13966183
by,0.140253196
congratulations,0.142762608
an,0.144607627
are,0.151731278
speech,0.15583469
in,0.167195642
from,0.170525405
vote,0.173853195
sign,0.173853195
happy,0.185687653
new,0.189141888
here's,0.194055902
on,0.196400569
like,0.205105739
must,0.21467519
free,0.220373211
much,0.226845725
delighted,0.234262323
help,0.239255399
secure,0.242846067
around,0.258594424
just,0.261195205
read,0.264824973
say,0.270245041
extra,0.279213711
done,0.289366082
trade,0.296913288
great,0.309985369
also,0.314305031
some,0.319219045
pay,0.322888774
after,0.325733726
proud,0.333817845
working,0.334783562
would,0.348206582
wishes,0.348206582
with,0.350146447
more,0.358863877
tonight,0.396996746
long,0.403776433
people,0.409450208
,0.412745103
most,0.425167623
british,0.427343903
full,0.443516762
good,0.461535268
&amp;,0.473369725
been,0.476460918
being,0.481737975
home,0.506430588
young,0.530528139
if,0.530528139
he,0.551147426
huge,0.563317962
tax,0.571350134
join,0.577048155
looking,0.58459536
please,0.59506666
always,0.610570847
up,0.615685947
president,0.621499917
real,0.625838319
affected,0.635888655
where,0.643006123
future,0.64493849
-,0.655360758
today.,0.666660313
"stronger,",0.684678819
at,0.692808945
i'm,0.702378396
days,0.712849696
helping,0.715931362
let's,0.719770139
world.,0.75367169
means,0.766916917
keep,0.781842567
first,0.80422397
see,0.808548301
about,0.818210212
coming,0.818210212
eu,0.826509014
clear,0.853301531
ever,0.859032206
meeting,0.867000376
friends,0.878834833
giving,0.898252919
it's,0.901207131
how,0.903732385
economy,0.923570727
financial,0.935993247
cut,0.990060468
better,0.995891389
article,1.007452211
business,1.021151056
secretary,1.041353763
his,1.053776283
talking,1.06952464
him,1.074143586
thoughts,1.083317962
visiting,1.090143927
find,1.113674424
family,1.136663943
news,1.15170182
today's,1.154682448
people.,1.181115705
off,1.189773768
can't,1.22367532
term,1.264497314
part,1.284299941
global,1.303718027
i've,1.325458014
against,1.341458355
jobs,1.367569499
eu.,1.377825999
plans,1.401356497
cabinet,1.412917319
english,1.446818871
chaired,1.511357392
security,1.52024634
i'll,1.560147556
@andy_murray,1.571982014
families,1.629140428
hear,1.683207649
we're,1.691941329
shows,1.734500943
long-term,1.759193556
creating,1.783291108
council,1.829811123
jobs.,1.874262886
economic,1.902836258
miliband,1.9168225
inflation,1.957644495
europe.,1.996865208
families.,2.07097318
don't,2.1060645
win,2.139966052
ed,2.172755874
state,2.204504573
referendum,2.265129194
safer,2.322287608
message,2.37635483
we'll,2.476438288
#strongerin,2.499968786
hardworking,2.764120361
#longtermeconomicplan,2.897651753
