,count
the,1128
to,882
and,591
of,453
a,449
rt,392
in,382
for,361
we,258
is,240
our,239
i,223
on,196
will,176
with,163
that,162
this,129
at,128
-,127
be,117
@10downingstreet:,116
my,115
are,111
pm,107
it,107
you,98
today,96
have,96
all,91
their,90
more,88
people,83
@conservatives:,82
as,81
great,79
has,77
who,76
by,75
–,72
uk,72
@theresa_may,70
@number10gov:,70
from,67
country,67
,66
can,65
an,64
brexit,63
was,63
prime,58
&amp;,58
@theresamay2016,53
minister,53
best,50
britain,50
work,50
new,50
need,48
support,47
do,46
they,45
why,45
your,45
government,45
help,43
those,42
get,42
about,42
out,42
us,40
make,40
deal,40
so,39
want,39
but,38
theresa,38
thank,38
one,36
am,35
backing,35
every,35
next,34
not,34
me,34
since,32
good,31
her,31
i'm,31
leadership,31
everyone,31
vote,31
build,30
may,30
been,30
just,30
right,29
day,29
world,29
local,29
very,29
time,28
them,28
british,28
working,28
deliver,28
together,27
into,27
eu,27
now,26
congratulations,26
last,26
party,25
strong,25
his,24
no,24
which,24
future,24
proud,24
what,24
#tm4pm,24
over,23
there,23
leave,23
year,23
she,23
meet,23
public,23
wish,22
plan,22
continue,22
years,22
how,22
works,22
national,22
than,22
up,22
its,21
today.,21
must,21
conservative,21
better,21
should,21
many,21
see,21
across,21
nhs,21
watch,20
team,20
where,20
were,20
take,20
helping,20
million,19
campaign,19
voted,19
.@theresa_may:,19
first,19
ensure,19
meeting,19
made,19
that's,18
would,18
other,18
back,18
keep,18
it's,17
announced,17
happy,17
if,17
delighted,17
plastic,17
important,17
around,16
pleased,16
@conservatives,16
only,16
women,16
downing,16
like,15
homes,15
through,15
visited,15
street,15
set,15
way,15
place,15
britain.,15
celebrate,15
or,15
stronger,15
i’m,15
when,15
#pmqs,15
unite,15
change,15
put,15
businesses,15
#pminchina,14
economy,14
statement,14
live:,14
hard,14
leader,14
welcome,14
secure,14
#peston,14
huge,14
supporting,14
met,14
delivering,13
mission,13
protect,13
step,13
services,13
mps,13
duty,13
down,13
after,13
that’s,13
stand,13
much,13
clear,13
action,13
morning,13
know,13
life,13
young,13
@theresamay2016:,13
fantastic,13
part,13
had,13
housing,13
living,13
provide,12
supporter,12
use,12
being,12
security,12
thoughts,12
experience,12
leaders,12
forward,12
stamp,12
show,12
going,12
launch,12
end,12
@hmtreasury:,12
future.,12
number,12
pm:,12
taking,12
children,12
let,12
tackle,12
these,12
"today,",12
lead,11
increase,11
success,11
"strong,",11
sure,11
building,11
country.,11
tax,11
two,11
armed,11
members,11
business,11
visit,11
lives,11
improve,11
create,11
some,11
#budget2017,11
getting,11
parliament,11
home,11
jeremy,11
council,11
thanks,11
say,11
we’re,11
excellent,11
pay,11
night,10
united,10
ahead,10
news,10
celebrating,10
join,10
labour,10
wonderful,10
families,10
needs,10
opportunities,10
doing,10
jobs,10
reception,10
funding,10
school,10
never,10
election,10
special,10
staff,10
making,10
we've,10
follow,10
things,9
again,9
secretary,9
union,9
big,9
it.,9
also,9
following,9
strengthen,9
talking,9
ever,9
remember,9
🇬🇧🇨🇳,9
"country,",9
start,9
whole,9
campaigning,9
record,9
mental,9
wishes,9
before,9
committed,9
health,9
european,9
most,9
please,9
go,9
rights,9
commitment,9
mp,9
real,9
each,9
here,9
long,9
chancellor,9
he,9
#roadtobrexit,9
hope,8
both,8
tm:,8
i’ve,8
christmas,8
between,8
said,8
speech,8
proven,8
attack,8
"eu,",8
bill,8
world.,8
china,8
honour,8
under,8
candidate,8
vital,8
live,8
pleasure,8
week,8
conservatives,8
first-time,8
president,8
meaning,8
10,8
i've,8
@emmanuelmacron,8
everything,8
supported,8
charity,8
possible,8
stable,8
constituency.,8
female,8
fund,8
uk.,8
research,8
job,8
lost,8
vision,8
lives.,8
any,8
we're,8
believe,8
come,8
luck,8
constituency,8
year.,8
trade,8
fit,8
leading,8
